nom_usina,Latitude,Longitude
CONJ. BJL,-13.31906389,-43.35043611
CONJ. BOM JESUS,-13.30021076,-43.32352929
CONJ. FUTURA,-9.65917778,-40.67818611
CONJ. HORIZONTE,-12.60903827,-44.08514302
CONJ. ITUVERAVA,-12.58732500,-44.10687778
CONJ. JUAZEIRO SOLAR,-9.53190291,-40.48784622
CONJ. JUAZEIRO SOLAR 2,-13.84187496,-42.69056477
CONJ. LAPA,-12.96700966,-38.50153455
CONJ. SÃO PEDRO,-13.32273116,-43.29514073
CONJ. SOL DO SERTÃO,-12.32529722,-42.62414167
CONJUNTO FOTOVOLTAICO SERTÃO SOLAR BARREIRAS,-12.03201500,-45.07217652
CONJ. ALEX,-5.23791111,-37.97709167
CONJ. BANABUIU,-5.3046, -38.9198
CONJ. CALCÁRIO,-5.038199120250228,-37.78049997839219
CONJ. FOTOVOLTAICO ABAIARA 230 KV,-7.390980534938731,-38.97253871860522
CONJ. LAVRAS,-3.79511667,-38.91820913
CONJ. SERRA DO MATO,-3.27065252,-39.39626156
CONJ. SOL DO FUTURO,-3.95533317,-38.39498032
FLOR DE MANDACARU,-4.78638889,-37.30555556
PITOMBEIRA,-4.60098333,-37.64212222
CONJ. LUZIA,-6.84570555,-36.92991389
CONJ. RIO ALTO,-6.894510376639746, -36.956011968458355
CONJUNTO FOTOVOLTAICO SANTA LUZIA II 500KV,-6.90641833,-36.95867305
CONJ. BELMONTE,-7.85585694,-38.8278175
CONJ. BRÍGIDA,-8.84649241,-36.73023703
CONJ. CIRANDA,-7.96478611,-38.63067500
CONJ. TACARATU (SOLAR),-8.89425389,-37.92015333
CONJ. FV SJP,-8.261608077596977,-42.15302690900319
CONJ. MARANGATU,-4.09950278,-41.48329444
CONJ. NOVA OLINDA,-8.19412159,-42.55956272
CONJ. SÃO BASÍLIO (SOLAR),-7.346326,-40.5547
CONJ. SÃO GONÇALO,-10.09157393,-45.264353
CONJ. SÃO GONÇALO A,-10.108688950458498,-45.2626941076669
SOL DO PIAUÍ,-8.01500833,-40.61032777
ASSÚ V,-5.54600429,-37.02639026
CONJ. FLORESTA,-4.96160106,-36.90669327
CONJ. FOTOV. ACU III 230KV,-5.575901712766283,-37.030070014154795
CONJ. MONTE VERDE SOLAR,-5.41852611,-36.23112500
CONJ. SERRA DO MEL C,-5.27884167,-37.125575
CONJ. ARAXÁ,-19.62750000,-46.98611111
CONJ. FRANCISCO SÁ,-16.30956393,-43.66698612
CONJ. HELIO VALGAS,-17.53559166,-44.77671389
CONJ. JAÍBA,-15.34972222,-43.62999999
CONJ. JAIBA V,-19.86315702,-50.34647804
CONJ. LAR DO SOL,-17.36182778,-44.88218889
CONJ. PARACATU,-17.06861111,-47.11027778
CONJ. PIRAPORA 2,-17.40864908,-44.87355101
CONJ. SOL DO CERRADO,-20.20742219,-42.85499938
CONJUNTO FOTOVOLTAICO ARINOS 2 500 KV,-15.73572222,-45.92946111
CONJUNTO FOTOVOLTAICO BOA SORTE,-17.16534793633194,-47.286098759791514
CONJUNTO FOTOVOLTAICO JANAÚBA,-15.92110556,-43.47683600
CONJ. BOA HORA,-19.87300000,-50.89047036
CONJ. CASTILHO,-20.91015420,-51.54405681
CONJ. DRACENA,-21.46620444,-51.59167583
CONJ. GUAIMBÊ,-21.892406992630196, -49.86396105187691
CONJ. PEDRANÓPOLIS,-20.19463333,-50.04071389
CONJ. PEREIRA BARRETO,-20.62783400,-51.30289500
CONJUNTO FOTOVOLTAICO BOM NOME 138KV,-7.88532222,-38.70541389
CONJ. RIBEIRO GONÇALVES,-7.65785556,-45.18700833
CONJ. VARZEA DA PALMA 7,-17.85286111,-44.853825
CONJ. FOTOVOLTAICO BARREIRAS II 500 KV,-12.15283006,-44.99005309
CONJ. SERTÃO SOLAR BARREIRAS,-12.03201500,-45.07217652
CONJ. BOM NOME,-7.88400000,-38.69473179
CONJ. FOTOVOLTAICO GILBUÉS II 500 KV,-9.745656035743892,-45.40410088307617
CONJ. ARINOS 2 500 KV,-15.73572222,-45.92946111
CONJ. BOA SORTE,-17.15153056,-47.28171 
CONJ. JANAÚBA,-15.92110556,-43.47683600
CONJ. TRÊS MARIAS 3 138KV,-18.24444444,-45.25861111
CONJ. VARZEA DA PALMA,-17.85286111,-44.853825
CONJ. VISTA ALEGRE - JANAÚBA,-15.82285694,-43.42701833
CONJ. JAÍBA 138 KV,-15.34972222,-43.62999999
CONJUNTO JAIBA 4 DIST,-15.350572719621727, -43.636527901575136
CONJ. FOTOV. ASSU SOL 500KV,-5.57023662320043, -37.038956093162554
CONJ. FOTOV. SIMPLICE,-5.8163378256298985, -36.64669039790476
